Designator,Mid X,Mid Y,Rotation,Layer
C1,164.825,-106.6,0.0,top
C2,167.525,-109.9,180.0,top
C3,169.025,-113.4,0.0,top
C4,176.3,-100.275,90.0,top
C5,168.275,-98.6,180.0,top
C6,165.925,-101.3,0.0,top
C7,167.825,-108.1,0.0,top
D1,172.1125,-113.5,0.0,top
J1,157.4,-106.74,0.0,top
J2,178.8,-107.28,0.0,top
R1,166.5875,-103.0,0.0,top
R10,173.975,-98.6,180.0,top
R11,169.075,-100.1,0.0,top
R12,160.725,-102.5,0.0,top
R13,160.725,-104.0,0.0,top
R14,164.825,-108.1,180.0,top
R15,174.8,-112.5125,270.0,top
R2,166.6125,-104.9,0.0,top
R3,164.2,-99.075,90.0,top
R4,162.7,-99.075,90.0,top
R5,165.1375,-113.0,0.0,top
R6,174.8,-109.1125,270.0,top
R7,170.8,-108.1,0.0,top
R8,161.8,-109.1125,90.0,top
R9,170.7875,-109.9,180.0,top
U1,172.9,-103.425,90.0,top
